ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO
478242,1,10.01.2020,03.12.2019,155000,0,,,,,,05.04.2022,10.01.2020,1,1,2020
478416,1,11.01.2020,27.11.2019,5000,0,,,,,,05.04.2022,11.01.2020,1,2,2020
488021,1,11.03.2020,29.01.2020,1550,0,,,,,,05.04.2022,11.03.2020,1,3,2020
505755,1,10.09.2020,27.07.2020,47250,0,,,,,,05.04.2022,10.09.2020,1,2,2020
493663,1,10.05.2020,26.03.2020,110000,0,,,,,,05.04.2022,10.05.2020,1,2,2020
507094,1,10.09.2020,07.08.2020,95600,0,,,,,,05.04.2022,10.09.2020,1,2,2020
507892,1,11.09.2020,03.08.2020,28000,0,,,,,,05.04.2022,11.09.2020,1,2,2020
492866,1,10.05.2020,11.03.2020,13000,0,,,,,,05.04.2022,10.05.2020,1,2,2020
514017,1,10.11.2020,15.09.2020,55000,0,,,,,,05.04.2022,10.11.2020,1,2,2020
491680,1,11.04.2020,19.02.2020,2000,0,,,,,,05.04.2022,11.04.2020,1,1,2020
489003,4,11.03.2020,12.02.2020,300000,0,,,,,,11.03.2020,11.03.2020,1,4,2020
490493,1,10.04.2020,03.02.2020,28000,0,,,,,,05.04.2022,10.04.2020,1,3,2020
506091,1,10.09.2020,09.06.2020,12122.4,0,,,,,,05.04.2022,10.09.2020,1,2,2020
499932,1,20.07.2020,05.06.2020,169.2,0,,,,,,05.04.2022,20.07.2020,1,3,2020
516447,1,11.11.2020,19.10.2020,5904,0,,,,,,05.04.2022,11.11.2020,1,2,2020
482120,1,10.02.2020,07.01.2020,116000,0,,,,,,05.04.2022,10.02.2020,1,1,2020
482632,1,11.02.2020,05.12.2019,70502,0,,,,,,05.04.2022,11.02.2020,1,1,2020
495932,1,10.06.2020,05.05.2020,4000,0,,,,,,05.04.2022,10.06.2020,1,2,2020
477137,1,10.01.2020,11.10.2019,7206.5,0,,,,,,05.04.2022,10.01.2020,1,1,2020
512187,1,11.10.2020,24.08.2020,1397,0,,,,,,05.04.2022,11.10.2020,1,3,2020
519882,1,11.12.2020,05.11.2020,153.85,0,,,,,,05.04.2022,11.12.2020,1,2,2020
507366,1,11.09.2020,21.07.2020,28000,0,,,,,,05.04.2022,11.09.2020,1,2,2020
503886,1,11.08.2020,03.07.2020,133000,0,,,,,,05.04.2022,11.08.2020,1,2,2020
502598,1,10.08.2020,20.05.2020,56480,0,,,,,,05.04.2022,10.08.2020,1,4,2020
511720,1,11.10.2020,07.09.2020,143500,0,,,,,,05.04.2022,11.10.2020,1,2,2020
511023,1,10.10.2020,07.09.2020,59510,0,,,,,,05.04.2022,10.10.2020,1,2,2020
514940,1,10.11.2020,01.10.2020,70000,0,,,,,,05.04.2022,10.11.2020,1,3,2020
503450,4,11.08.2020,09.07.2020,320000,0,,,,,,11.08.2020,11.08.2020,1,4,2020
519507,1,10.12.2020,05.11.2020,140000,0,,,,,,05.04.2022,10.12.2020,1,2,2020
511851,1,11.10.2020,13.08.2020,45000,0,,,,,,05.04.2022,11.10.2020,1,2,2020
491675,1,11.04.2020,18.02.2020,19432.6,0,,,,,,05.04.2022,11.04.2020,1,1,2020
499474,1,20.07.2020,05.06.2020,300000,0,,,,,,05.04.2022,20.07.2020,1,2,2020
493405,1,10.05.2020,27.03.2020,250000,0,,,,,,05.04.2022,10.05.2020,1,4,2020
489738,1,10.04.2020,13.02.2020,2442302.29,0,,,,,,05.04.2022,10.04.2020,1,2,2020
515529,1,11.11.2020,08.10.2020,30000,0,,,,,,05.04.2022,11.11.2020,1,2,2020
514190,1,10.11.2020,09.11.2020,252.54,1,4,,,,,05.04.2022,10.11.2020,1,2,2020
516801,4,11.11.2020,22.09.2020,34000,0,,,,,,11.11.2020,11.11.2020,1,4,2020
492655,1,10.05.2020,18.12.2019,5200,0,,,,,,05.04.2022,10.05.2020,1,2,2020
519411,1,10.12.2020,22.09.2020,3000,0,,,,,,05.04.2022,10.12.2020,1,2,2020
480471,1,05.02.2020,07.11.2018,330894,1,3,,,,,05.04.2022,05.02.2020,1,1,2020
488579,1,11.03.2020,05.02.2020,90000,0,,,,,,05.04.2022,11.03.2020,1,2,2020
481345,1,10.02.2020,29.12.2019,75000,0,,,,,,05.04.2022,10.02.2020,1,1,2020
479281,3,11.01.2020,05.11.2019,130100,0,,,,,,05.04.2022,11.01.2020,1,3,2020
520466,1,11.12.2020,05.11.2020,7103.11,0,,,,,,05.04.2022,11.12.2020,1,3,2020
483417,1,11.02.2020,11.12.2019,390,0,,,,,,05.04.2022,11.02.2020,1,1,2020
487205,1,10.03.2020,27.01.2020,3500,0,,,,,,05.04.2022,10.03.2020,1,2,2020
486720,1,10.03.2020,16.01.2020,6127,0,,,,,,05.04.2022,10.03.2020,1,1,2020
517833,1,09.12.2020,13.11.2020,9223,1,4,,,,,05.04.2022,09.12.2020,1,1,2020
505975,1,10.09.2020,27.07.2020,12700,0,,,,,,05.04.2022,10.09.2020,1,2,2020
477553,1,10.01.2020,26.11.2019,103000,0,,,,,,05.04.2022,10.01.2020,1,1,2020
516160,1,11.11.2020,13.10.2020,200000,0,,,,,,05.04.2022,11.11.2020,1,2,2020
498647,1,20.07.2020,21.05.2020,21,0,,,,,,05.04.2022,20.07.2020,1,1,2020
520343,1,11.12.2020,05.10.2020,1000,0,,,,,,05.04.2022,11.12.2020,1,1,2020
519356,1,10.12.2020,03.11.2020,21500,0,,,,,,05.04.2022,10.12.2020,1,2,2020
515968,1,11.11.2020,05.10.2020,40000,0,,,,,,05.04.2022,11.11.2020,1,3,2020
492607,1,10.05.2020,03.03.2020,200000,0,,,,,,05.04.2022,10.05.2020,1,2,2020
488277,1,11.03.2020,30.01.2020,8500,0,,,,,,05.04.2022,11.03.2020,1,1,2020
487281,1,10.03.2020,23.01.2020,57000,0,,,,,,05.04.2022,10.03.2020,1,2,2020
487485,1,10.03.2020,21.01.2020,6072,0,,,,,,05.04.2022,10.03.2020,1,1,2020
492588,1,10.05.2020,10.02.2020,6000,0,,,,,,05.04.2022,10.05.2020,1,2,2020
494226,2,10.05.2020,27.03.2020,14725,0,,,,,,05.04.2022,10.05.2020,1,3,2020
476974,1,10.01.2020,01.10.2019,500,0,,,,,,05.04.2022,10.01.2020,1,3,2020
478546,1,11.01.2020,10.12.2019,41500,0,,,,,,05.04.2022,11.01.2020,1,1,2020
499596,1,20.07.2020,26.05.2020,13400,0,,,,,,05.04.2022,20.07.2020,1,2,2020
490993,1,10.04.2020,25.02.2020,900,0,,,,,,05.04.2022,10.04.2020,1,1,2020
515324,1,11.11.2020,19.09.2020,2000,0,,,,,,05.04.2022,11.11.2020,1,2,2020
482485,1,10.02.2020,19.12.2019,11000,0,,,,,,05.04.2022,10.02.2020,1,2,2020
481280,1,10.02.2020,25.11.2019,50,0,,,,,,05.04.2022,10.02.2020,1,3,2020
510137,1,10.10.2020,21.08.2020,2000,0,,,,,,05.04.2022,10.10.2020,1,2,2020
518104,1,10.12.2020,21.10.2020,2178,0,,,,,,05.04.2022,10.12.2020,1,1,2020
481893,1,10.02.2020,06.11.2019,110000,0,,,,,,05.04.2022,10.02.2020,1,2,2020
489991,1,10.04.2020,17.02.2020,75000,0,,,,,,05.04.2022,10.04.2020,1,2,2020
482197,1,10.02.2020,20.12.2019,23520,0,,,,,,05.04.2022,10.02.2020,1,2,2020
515208,1,10.11.2020,24.08.2020,20187.5,0,,,,,,05.04.2022,10.11.2020,1,1,2020
511669,1,11.10.2020,11.09.2020,25000,0,,,,,,05.04.2022,11.10.2020,1,2,2020
516723,3,11.11.2020,01.10.2020,19000,0,,,,,,05.04.2022,11.11.2020,1,4,2020
489801,1,10.04.2020,12.02.2020,80000,0,,,,,,05.04.2022,10.04.2020,1,2,2020
498142,2,16.07.2020,19.06.2020,36500,1,4,,,Prodajni postopek je predmet 76. a člena ZDDV-1,,05.04.2022,16.07.2020,1,2,2020
506896,1,10.09.2020,06.08.2020,105000,0,,,,,,05.04.2022,10.09.2020,1,2,2020
477787,1,10.01.2020,14.11.2019,500,0,,,,,,05.04.2022,10.01.2020,1,2,2020
488719,1,11.03.2020,20.02.2020,155000,0,,,,,,05.04.2022,11.03.2020,1,2,2020
509730,1,10.10.2020,03.08.2020,20000,0,,,,,,05.04.2022,10.10.2020,1,3,2020
492752,1,10.05.2020,10.03.2020,8500,0,,,,,,05.04.2022,10.05.2020,1,2,2020
510736,1,10.10.2020,15.09.2020,81000,0,,,,,,05.04.2022,10.10.2020,1,2,2020
483386,1,11.02.2020,23.01.2020,80000,0,,,,,,05.04.2022,11.02.2020,1,1,2020
506201,1,10.09.2020,02.07.2020,10584,0,,,,,,05.04.2022,10.09.2020,1,2,2020
488247,1,11.03.2020,12.12.2019,1000,0,,,,,,05.04.2022,11.03.2020,1,4,2020
488306,1,11.03.2020,11.02.2020,38000,0,,,,,,05.04.2022,11.03.2020,1,2,2020
495926,1,10.06.2020,13.01.2020,6000,0,,,,,,05.04.2022,10.06.2020,1,3,2020
500213,1,21.07.2020,19.06.2020,200000,0,,,,,,05.04.2022,21.07.2020,1,2,2020
