ID_POSLA,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO
812566,2223,KOBARID,KOBARID,74,1,,,1,KOBARID,GREGORČIČEVA ULICA,6,,1,2,1900,1,,,88.1,1/1,,,,,0,,,2 - stanovanje,nadstropje,,88.1,88.1, bivalni prostor,,,390519.74,124056.56,2024
814210,109,MARKIŠAVCI,MURSKA SOBOTA,18,1,,,1,,,,,,14,1994,1,,,194.4,1/1,,,,,0,,,33 - klet,,,194.4,194.4, klet,,,589253.3,172644.13,2024
812642,678,SPODNJE RADVANJE,MARIBOR,1919,1,,,1,,,,,,13,1920,1,,,31.1,1/1,,,,,0,,,28 - pomožni kmetijski del stavbe,pritličje,,31.1,31.1, kmetijski prostor,,,547856.96,155239.7,2024
821238,996,ŽALEC,ŽALEC,1130,1,,,1,,,,,,13,1951,1,,,55.9,1/4,,,,,0,,,29 - del stavbe za spravilo pridelka,pritličje,,55.9,55.9, kmetijski prostor,,,512707.56,123687.49,2024
811119,1297,MOSTEC,BREŽICE,279,1,,,1,MOSTEC,MOSTEC,6,,,2,1950,1,,,152.8,1/1,,,,,0,,,1 - stanovanje v enostanovanjski stavbi,pritličje,,152.8,85.4," bivalni prostor | klet | odprta terasa, balkon, loža | shramba, sušilnica, pralnica | zaprta terasa, balkon, loža",,,548847.02,84501.72,2024
816240,2120,PRIMSKOVO,KRANJ,1264,2,,,1,,,,,,13,1990,1,,,35.6,1/1,,,,,0,,,28 - pomožni kmetijski del stavbe,,,35.6,35.6, kmetijski prostor,,,451733.36,123272.41,2024
819370,1327,POVRŠJE,KRŠKO,214,1,,,1,,,,,,13,1965,1,,,91.6,1/1,,,,,0,,,29 - del stavbe za spravilo pridelka,klet,,91.6,91.6, kmetijski prostor,,,527834.15,88244.89,2024
821896,2315,ŠEMPETER,ŠEMPETER-VRTOJBA,723,2,,,1,ŠEMPETER PRI GORICI,TRG IVANA ROBA,2,,2,2,1925,1,,0,64.2,1/1,,,,,0,,,2 - stanovanje,nadstropje,,64.2,64.2, bivalni prostor,,,394507.63,88746.31,2024
817946,2606,SEMEDELA,KOPER,108,15,,,1,KOPER,ERJAVČEVA ULICA,20,,15,2,1962,1,,,43.1,1/1,,,,,0,,,2 - stanovanje,nadstropje,,43.1,32.4," bivalni prostor | klet | odprta terasa, balkon, loža",,,399721.31,45371.69,2024
808966,2605,KOPER,KOPER,2070,43,,,1,KOPER,FERRARSKA ULICA,16,,43,2,2013,1,,,41.2,1/1,,,,,0,,,2 - stanovanje,nadstropje,,41.2,34.2," bivalni prostor | odprta terasa, balkon, loža",,,401240.76,45689.49,2024
