ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO
392665,1,11.09.2018,20.06.2018,,0,,,,,0,02.07.2024,02.07.2024,1,5,2024
815230,1,15.03.2024,06.02.2024,115000,0,,,,,,22.03.2024,15.03.2024,1,5,2024
818334,1,15.04.2024,26.01.2024,20542,0,,,,,,22.04.2024,15.04.2024,1,5,2024
809033,1,16.01.2024,22.11.2023,139000,0,,,,,,19.01.2024,16.01.2024,1,5,2024
809564,1,17.01.2024,20.11.2023,25000,0,,,,,,19.01.2024,17.01.2024,1,5,2024
811753,1,15.02.2024,18.12.2023,19008,0,,,,,,17.02.2024,15.02.2024,1,5,2024
820432,1,15.05.2024,02.04.2024,320000,0,,,,,,22.05.2024,15.05.2024,1,5,2024
815322,1,15.03.2024,09.02.2024,210000,0,,,,,,22.03.2024,15.03.2024,1,5,2024
820408,1,15.05.2024,19.02.2024,10000,0,,,,,,22.05.2024,15.05.2024,1,5,2024
822163,1,17.06.2024,16.04.2024,50000,0,,,,,,24.06.2024,17.06.2024,1,5,2024
809546,1,17.01.2024,29.11.2023,515000,0,,,,,,19.01.2024,17.01.2024,1,5,2024
819758,1,15.05.2024,25.03.2024,600,0,,,,,,22.05.2024,15.05.2024,1,5,2024
820138,1,15.05.2024,22.03.2024,30000,0,,,,,,22.05.2024,15.05.2024,1,5,2024
822818,1,17.06.2024,09.04.2024,90000,0,,,,,,24.06.2024,17.06.2024,1,5,2024
811695,1,15.02.2024,22.12.2023,300000,0,,,,,,17.02.2024,15.02.2024,1,5,2024
816719,1,05.04.2024,29.03.2021,220909.41,1,3,,,Stanovanju pripada notranje parkirno mesto v garaži in dodatno zunanje parkirno mesto,,12.04.2024,05.04.2024,1,5,2024
809549,1,17.01.2024,30.11.2023,205000,0,,,,,,19.01.2024,17.01.2024,1,5,2024
809478,1,17.01.2024,24.11.2023,62400,0,,,,,,19.01.2024,17.01.2024,1,5,2024
823669,1,18.06.2024,22.05.2024,110000,0,,,,,,25.06.2024,18.06.2024,1,5,2024
822413,1,17.06.2024,29.04.2024,275000,0,,,,,,24.06.2024,17.06.2024,1,5,2024
818241,1,15.04.2024,14.03.2024,90000,0,,,,,,22.04.2024,15.04.2024,1,5,2024
814374,1,15.03.2024,03.01.2024,1766.5,0,,,,,,22.03.2024,15.03.2024,1,5,2024
820580,1,15.05.2024,20.02.2024,13000,0,,,,,,22.05.2024,15.05.2024,1,5,2024
819542,1,15.05.2024,22.03.2024,155000,0,,,,,,22.05.2024,15.05.2024,1,5,2024
821165,1,16.05.2024,10.04.2024,61000,0,,,,,,23.05.2024,16.05.2024,1,5,2024
811706,1,15.02.2024,21.12.2023,180000,0,,,,,,17.02.2024,15.02.2024,1,5,2024
808791,1,15.01.2024,23.11.2023,176200,0,,,,,,19.01.2024,15.01.2024,1,5,2024
818036,1,15.04.2024,12.03.2024,365000,0,,,,,,22.04.2024,15.04.2024,1,5,2024
811215,1,15.02.2024,07.12.2023,70000,0,,,,,,17.02.2024,15.02.2024,1,5,2024
814217,1,15.03.2024,12.12.2023,15000,0,,,,,,22.03.2024,15.03.2024,1,5,2024
818009,1,15.04.2024,11.12.2023,204,0,,,,,,22.04.2024,15.04.2024,1,5,2024
812160,1,15.02.2024,12.01.2024,110000,0,,,,,,17.02.2024,15.02.2024,1,5,2024
809896,1,18.01.2024,11.11.2023,3500,0,,,,,,19.01.2024,18.01.2024,1,5,2024
813612,1,29.02.2024,22.01.2024,358419.36,1,3,,,,,07.03.2024,29.02.2024,1,5,2024
814964,1,15.03.2024,19.03.2023,202856.21,1,3,,,,,22.03.2024,15.03.2024,1,5,2024
815035,1,15.03.2024,05.02.2024,80000,0,,,,,,22.03.2024,15.03.2024,1,5,2024
809146,1,16.01.2024,17.11.2023,95000,0,,,,,,19.01.2024,16.01.2024,1,5,2024
812767,1,16.02.2024,19.01.2024,3640,0,,,,,,17.02.2024,16.02.2024,1,5,2024
810059,1,18.01.2024,16.12.2023,140000,0,,,,,,19.01.2024,18.01.2024,1,5,2024
813855,1,05.03.2024,04.03.2024,746.64,1,4,,,,,12.03.2024,05.03.2024,1,5,2024
821275,1,20.05.2024,23.12.2023,155000,1,3,,,Prodaja skladno z določbami ZVKSES.,,27.05.2024,20.05.2024,1,5,2024
